"!SYSTEM-key :Dansk (Med prefix: @)","da:Dansk (Denmark:Danish da-DK)","en:English (United Kingdom:English en-GB)","de:Deutsch (Germany:German de-DE)","fr:Français (France:French fr-FR)","tr:Türkçe (Turkey:Turkish tr-TR)","es:Español (Spain:Spanish es-ES)","it:italian","gr:Greenland"
"@Rabat metode","Rabat metode","Rabat method","Rabat Verfahren","méthode Rabat","Rabat yöntemi","método de Rabat","metodo di Rabat",
"@Rabat procent","Rabat procent","discount percent","Rabatt Prozent","de réduction pour cent","indirim yüzde","por ciento de descuento","per cento di sconto",
"@Rabat","Rabat","Discount","Rabatt","réduction","indirim","descuento","sconto",
"@Rabat%","Rabat%","Discount%","Rabatt%","de réduction%","indirim%","descuento%","sconto%",
"@Rabat...","Rabat...","Discount...","Discount ...","Remise ...","İndirim ...","De descuento ...","Sconto ...",
"@Rabatgruppe","Rabatgruppe","discount Group","Rabatt-Gruppe","Groupe de réduction","indirimli Grubu","Grupo de descuento","Gruppo di sconto",
"@Rabatgrupper","Rabatgrupper","discount Groups","Rabatt-Gruppen","Groupes réduits","indirimli Grupları","Grupos de descuento","Gruppi di sconto",
"@Rabatgrupper:","Rabatgrupper:","Discount Groups:","Rabattgruppen:","Groupes Discount:","İndirimli Gruplar:","Grupos de descuento:","Gruppi di sconto:",
"@Rabatsats i %.","Rabatsats i %.","Discount rate%.","Diskontierungssatz%.","Taux d'actualisation%.","İskonto oranı%.","tasa de descuento%.","Tasso di sconto%.",
"@Rabt..","Rabt..","Foregone ..","Foregone ..","Foregone ..","Vazgeçilen ..","Inevitable ..","Foregone ..",
"@Rap: ","Rap: ","Rap: ","Rap: ","Rap: ","Rap: ","rap: ","Rap: ",
"@Rapport for Top 100","Rapport for Top 100","Report Top 100","Bericht Top 100","Rapport Top 100","Rapor Top-100","El TOP 100","Relazione Top 100",
"@Rapport for debitor Salgs statistik","Rapport for debitor Salgs statistik","Report debtor Sales Stats","Bericht Schuldner Verkaufsstatistik","Rapport débiteur Statistiques Ventes","Rapor borçlu Satış İstatistikleri","Informe deudor de venta Estadísticas","Relazione debitore statistiche di vendita",
"@Rapport for debitor konto kort","Rapport for debitor konto kort","Report for customer account cards","Bericht für Kundenkarten","Rapport pour compte client cartes","Müşteri hesap kartları için Raporu","Informe de cuentas de clientes de tarjetas","Relazione per schede conto cliente",
"@Rapport for debitor konto saldo","Rapport for debitor konto saldo","Report debtor account balance","Bericht Schuldner Kontostand","Rapport solde du compte débiteur","Rapor borçlu hesap bakiyesi","Informe saldo de la cuenta del deudor","Rapporto saldo del conto del debitore",
"@Rapport for debitor åbne poster","Rapport for debitor åbne poster","Report debtor open items","Bericht Schuldner offene Posten","Rapport débiteurs éléments ouverts","Rapor borçlu açık öğeler","partidas abiertas informe de deudores","Relazione debitori partite aperte",
"@Rapport for kreditor konto kort","Rapport for kreditor konto kort","Report vendor account cards","Bericht Kreditorenkonto Karten","Rapport compte du fournisseur de cartes","Rapor satıcı hesap kartları","Las libretas de cuenta del vendedor","Pagelle conto fornitore",
"@Rapport for kreditor konto saldo","Rapport for kreditor konto saldo","Report vendor account balance","Bericht Lieferantenkontostand","Rapport solde du compte du fournisseur","Rapor satıcı hesap bakiyesi","Informe del balance de cuenta de proveedor","Rapporto saldo del conto del fornitore",
"@Rapport for kreditor købs statistik","Rapport for kreditor købs statistik","Report creditor purchase statistics","Bericht Gläubiger Einkaufsstatistiken","Rapport des statistiques d'achat des créanciers","Rapor alacaklı alım istatistikleri","Informe de estadísticas de compra acreedor","Rapporto statistiche creditore di acquisto",
"@Rapport for kreditor åbne poster","Rapport for kreditor åbne poster","Report vendor open items","Bericht Anbieter von offenen Posten","Rapport fournisseur éléments ouverts","Rapor satıcı açık öğeler","partidas abiertas informe de proveedores","Relazione fornitore partite aperte",
"@Rapport over medarbejdernes provisionsindtjening","Rapport over medarbejdernes provisionsindtjening","Report on employees' commission earnings","Bericht über die Provisionserträge der Mitarbeiter","Rapport sur les résultats de la commission des employés","çalışanların komisyon kazançları üzerindeki Raporu","Informe sobre las ganancias de comisiones de los empleados","Relazione sui guadagni di commissione dei dipendenti",
"@Rapporter","Rapporter","reports","Berichte","rapports","raporlar","informes","rapporti",
"@Rapporttype","Rapporttype","report type","Berichtstyp","type de rapport","rapor tipi","tipo de informe","tipo di rapporto",
"@Rediger ","Rediger ","edit ","bearbeiten ","éditer ","Düzenleme ","editar ","Modifica ",
"@Rediger Formular: Grafik","Rediger Formular: Grafik","Edit Form: Graphics","Edit Form: Grafik","Modifier le formulaire: Graphics","Düzenleme Formu: Grafik","Editar formulario: Gráficos","Modifica modulo: Graphics",
"@Rediger Formular: Ordrelinier","Rediger Formular: Ordrelinier","Edit Form: Order Lines","Edit Form: Bestellen Linien","Modifier le formulaire: lignes de commande","Düzenleme Formu: Sipariş Hatları","Editar formulario: líneas de la orden","Modifica modulo: Ordine Lines",
"@Rediger Formular: Tekster","Rediger Formular: Tekster","Edit Form: Texts","Formular bearbeiten: Texte","Modifier le formulaire: Textes","Düzenleme Formu: Metinler","Editar formulario: Textos","Modifica modulo: Testi",
"@Rediger Plukliste","Rediger Plukliste","Edit Pick List","Bearbeiten Auswahlliste","Modifier la liste Pick","Düzenleme Seçim Listesi","Editar lista de selección","Modifica elenco",
"@Rediger Tilbuds blanket","Rediger Tilbuds blanket","Change Tender form","Ändern Angebotsformular","forme Change Tender","Değişim İhale formu","formulario de cambio Tender","modulo di modifica Tender",
"@Rediger blanket for 1. rykker","Rediger blanket for 1. rykker","Edit form for the first reminder","Edit-Formular für die erste Mahnung","Modifier la forme pour le premier rappel","İlk hatırlatıcı Düzenle formu","formulario de edición para el primer recordatorio","modulo di modifica per la prima promemoria",
"@Rediger blanket for 2. rykker","Rediger blanket for 2. rykker","Edit form for the second reminder","Edit-Formular für die zweite Mahnung","Modifier la forme pour le deuxième rappel","İkinci hatırlatma için Düzenle formu","formulario de edición para el segundo recordatorio","modulo di modifica per il secondo sollecito",
"@Rediger blanket for 3. rykker","Rediger blanket for 3. rykker","Edit form for 3rd reminder","Edit-Formular für die 3. Mahnung","Modifier la forme pour le 3ème rappel","3 hatırlatıcı Düzenle formu","formulario de edición para el 3 de recordatorio","modulo di modifica per il 3 ° promemoria",
"@Rediger blanket for indkøbsforslag","Rediger blanket for indkøbsforslag","Edit form of procurement proposals","Bearbeiten Form von Beschaffungsvorschlägen","Modifier la forme de propositions d'achat","ihale tekliflerinin Düzenle formu","Editar en forma de propuestas de adquisición","Modifica forma di proposte in materia di appalti",
"@Rediger blanket for kontokort","Rediger blanket for kontokort","Edit form for credit cards","Edit-Formular für Kreditkarten","Modifier la forme pour les cartes de crédit","kredi kartları için Düzenle formu","formulario de edición de tarjetas de crédito","modulo di modifica per le carte di credito",
"@Rediger blanket for kreditnota","Rediger blanket for kreditnota","Edit form of credit","Bearbeiten Form von Kredit","Modifier forme de crédit","kredi Formu düzenle","formulario de edición del crédito","Modifica forma di credito",
"@Rediger blanket for købsfaktura","Rediger blanket for købsfaktura","Edit form of purchase invoice","Bearbeiten Form von Kaufrechnung","Modifier la forme de la facture d'achat","Satın alma fatura düzenlemek formu","formulario de edición de la factura de compra","Modifica forma di fattura d'acquisto",
"@Rediger blanket for rekvisition","Rediger blanket for rekvisition","Edit form of requisition","Bearbeiten Form der Beschlagnahme","Modifier la forme de réquisition","requisition düzenlemek formu","Editar en forma de requisa","Modifica forma di requisizione",
"@Rediger det du har valgt ovenfor","Rediger det du har valgt ovenfor","Edit the selection above","Bearbeiten Sie die Auswahl oben","Modifier la sélection ci-dessus","Yukarıdaki seçim düzenlemek","Editar la selección anterior","Modificare la selezione di cui sopra",
"@Rediger faktura blanket","Rediger faktura blanket","Edit Invoice forms","Bearbeiten Rechnungsformulare","formes Modifier facture","Düzenleme Fatura formları","editar formularios de facturas","forme Modifica fattura",
"@Rediger formular for ordrebekræftelse ","Rediger formular for ordrebekræftelse ","Edit form of order confirmation ","Bearbeiten Form der Auftragsbestätigung ","Modifier la forme de confirmation de commande ","Sipariş teyidi Düzenle formu ","formulario de edición de confirmación del pedido ","Modifica forma di conferma d'ordine ",
"@Rediger følgeseddel blanket","Rediger følgeseddel blanket","Edit delivery note form","Bearbeiten Lieferschein Form","Modifier la forme de bordereau de livraison","Düzenleme irsaliye formu","Editar forma albarán de entrega","Modifica forma bolla di consegna",
"@Rediger konto:","Rediger konto:","Edit account:","Konto bearbeiten:","Modifier le compte:","Düzenleme hesabı:","Editar cuenta:","Modifica account:",
"@Rediger sprog","Rediger sprog","Change language","Sprache ändern","Changer de langue","dili değiştir","Cambiar el idioma","Cambia lingua",
"@Rediger valgt formular","Rediger valgt formular","Edit selected form","Bearbeiten Sie ausgewählte Formular","Modifier la forme sélectionnée","Seçilen formu düzenlemek","Editar forma seleccionada","Modifica modulo selezionato",
"@Ref","Ref","Ref","Ref","Ref","Ref","árbitro","arbitro",
"@Regnskab","Regnskab","accounting","Buchhaltung","comptabilité","muhasebe","contabilidad","contabilità",
"@Regnskab...","Regnskab...","Accounting ...","Buchhaltung ...","Comptabilité ...","Muhasebe ...","Contabilidad ...","Accounting ...",
"@Regnskab: ","Regnskab: ","accounting: ","Buchhaltung: ","comptable: ","muhasebe: ","contable: ","contabilità: ",
"@Regnskab:","Regnskab:","accounting:","Buchhaltung:","comptable:","muhasebe:","contable:","contabilità:",
"@Regnskabets status","Regnskabets status","Regnskabets status","Regnskabets Status","état Regnskabets","Regnskabets durumu","estado Regnskabets","stato Regnskabets",
"@Regnskabskort:","Regnskabskort:","Accounting Brief:","Accounting Brief:","Bref comptable:","Muhasebe Özeti:","Breve Contabilidad:","Breve Accounting:",
"@Regnskabsår","Regnskabsår","Fiscal year","Das Geschäftsjahr","exercice","mali yıl","año fiscal","anno fiscale",
"@Regnskabsår:","Regnskabsår:","Financial year:","Rechnungsjahr:","Exercice:","Mali yıl:","Ejercicio:","Esercizio:",
"@Regu..","Regu..","Regu ..","Ver ..","Regu ..","Regu ..","Regla ..","Regola ..",
"@Rekvisition","Rekvisition","requisition","requirieren","réquisition","talep","requisición","requisizione",
"@Resultat konto","Resultat konto","Income account","Ertragskonto","Compte de revenus","gelir hesabı","ingreso en cuenta","conto dei redditi",
"@Resultat","Resultat","Result","Ergebnisse","résultats","sonuçlar","resultados","risultati",
"@Resultat/budget","Resultat/budget","Profit / budget","Gewinn / Budget","Profit / Budget","Kar / bütçe","Ganancia / presupuesto","Utile / budget",
"@Retur til Hovedmenu","Retur til Hovedmenu","Return to Main Menu","Zurück zum Hauptmenü","Retour au menu principal","Ana Menüye dönmek","Volver al Menú Principal","Tornare al menu principale",
"@Retur til Regnskab","Retur til Regnskab","Return to Accounting","Zurück zum Rechnungswesen","Retour à la comptabilité","Muhasebe dönmek","Regreso a la Contabilidad","Torna a Accounting",
"@Retur til finansrapport","Retur til finansrapport","Return to Financial Report","Zurück zur Finanzbericht","Retour au rapport financier","Finansal Raporu dönmek","Volver al informe financiero","Torna a Relazione finanziaria",
"@Retur til hovedmenu","Retur til hovedmenu","Return to the main menu","Zurück zum Hauptmenü","Retour au menu principal","Ana menüye dönmek","Volver al menú principal","Ritorno al menu principale",
"@Retur til indstillinger","Retur til indstillinger","Return to the settings","Zurück zu den Einstellungen","Retour aux réglages","ayarlara geri dönmek","Volver a los ajustes","Ritorno alle impostazioni",
"@Retur til indstillingsmenu","Retur til indstillingsmenu","Return to the settings menu","Zurück zum Einstellungsmenü","Retour au menu des paramètres","ayarlar menüsüne geri dönün","Volver al menú de ajustes","Ritorno al menu delle impostazioni",
"@Retur til kontoplan","Retur til kontoplan","Return to the account plan","Zurück zu den Account-Plan","Retour au plan de compte","hesap planına dönmek","Volver al plan de cuentas","Ritorno al piano di conto",
"@Retur til vareliste","Retur til vareliste","Return to the product list","Zurück zur Produktliste","Retour à la liste des produits","Ürün listesine geri dön","Regresar a la lista de productos","Ritorna alla lista dei prodotti",
"@Retur","Retur","Returns","Retouren","résultats","İade","Las devoluciones","Restituisce",
"@Rubrik A1","Rubrik A1","box A1","Box A1","case A1","kutu A1","cuadro A1","scatola A1",
"@Rubrik A2","Rubrik A2","box A2","Box A2","case A2","kutu A2","cuadro A2","scatola A2",
"@Rubrik B1","Rubrik B1","box B1","Box B1","case B1","kutu B1","cuadro B1","scatola B1",
"@Rubrik B2","Rubrik B2","box B2","Box B2","case B2","kutu B2","cuadro B2","scatola B2",
"@Rubrik C","Rubrik C","box C","Feld C","case C","kutu C","casilla C","casella C",
"@Rykker 1","Rykker 1","Reminder 1","Mahnung 1","Rappel 1","hatırlatma 1","recordatorio 1","Promemoria 1",
"@Rykker 2","Rykker 2","Reminder 2","Mahnung 2","Rappel 2","hatırlatma 2","El recordatorio 2","Promemoria 2",
"@Rykker 3","Rykker 3","Reminder 3","Erinnerung 3","Rappel 3","hatırlatma 3","recordatorio 3","Reminder 3",
"@Rykkerrelateret","Rykkerrelateret","Reminder Related","Zur Erinnerung Related","Rappel connexes","İlgili hatırlatma","recordatorio Relacionados","Promemoria correlati",
"@Rød","Rød","Red","rot","rouge","kırmızı","rojo","rosso",
"@S.moms grp","S.moms grp","S.moms grp","S.moms grp","S.moms grp","S.moms grp","grp S.moms","S.moms grp",
"@SHIFT Tab-tast","SHIFT Tab-tast","SHIFT Tab key","SHIFT Tab-Taste","SHIFT touche Tab","SHIFT Tab tuşuna","SHIFT tecla Tab","tasto Tab SHIFT",
"@SSL","SSL","SSL","SSL","SSL","SSL","SSL","SSL",
"@SYSTEM","SYSTEM","SYSTEM","SYSTEM","SYSTÈME","SİSTEM","SISTEMA","SISTEMA",
"@Saldi PHP-Fejl:","Saldi PHP-Fejl:","Balances PHP Error:","Gleicht PHP-Fehler:","Balances PHP Erreur:","PHP hatası dengeler:","Equilibra error de PHP:","Bilancia errore PHP:",
"@Saldi mysql-Fejl:","Saldi mysql-Fejl:","Balances mysql error:","Gleicht mysql Fehler:","Balances erreur mysql:","MySQL hatası dengeler:","Equilibra error de MySQL:","Bilancia errore mysql:",
"@Saldi postgres-Fejl:","Saldi postgres-Fejl:","Balances postgres-Error:","Waagen Postgres-Fehler:","Balances postgres-erreur:","postgres-Hata dengeler:","Equilibra postgres-error:","Bilancia postgres-Error:",
"@Saldo","Saldo","balance","Balance","équilibre","denge","equilibrio","equilibrio",
"@Saldo...","Saldo...","Balance ...","Balancieren ...","Solde ...","Denge ...","Equilibrar ...","Equilibrio ...",
"@Salg til EU","Salg til EU","Sales to EU","Die Verkäufe an EU","Les ventes à l'UE","AB Satış","Las ventas a la UE","Le vendite a UE",
"@Salg uden for EU","Salg uden for EU","Sales outside the EU","Der Umsatz außerhalb der EU","Les ventes en dehors de l'UE","AB dışındaki satışlar","Las ventas fuera de la UE","Le vendite al di fuori dell'UE",
"@Salg..","Salg..","Sales..","Der Umsatz ..","Sales ..","Satış ..","Ventas ..","Le vendite ..",
"@Salg: ","Salg: ","Sales: ","Vertrieb: ","Ventes: ","satış: ","ventas: ","Vendite: ",
"@Salgs ordre - Status","Salgs ordre - Status","Sales order - Status","Kundenauftrag - Status","Pour les ventes - Statut","Satış sipariş - Durum","pedido de cliente - Estado","ordine di vendita - Stato",
"@Salgs statistik","Salgs statistik","sales statistics","Verkaufsstatistik","statistiques de ventes","satış istatistikleri","estadísticas de ventas","statistiche di vendita",
"@Salgs-moms","Salgs-moms","Sales tax","Umsatzsteuer","La taxe de vente","satış vergisi","impuesto sobre la venta","imposta sulle vendite",
"@Salgs-pris","Salgs-pris","Selling price","Verkaufspreis","Prix-de vente","Satış Fiyatı","precio de venta","prezzo di vendita",
"@Salgs..","Salgs..","Sales ..","Der Umsatz ..","Sales ..","Satış ..","Ventas ..","Le vendite ..",
"@Salgs...","Salgs...","Sales ...","Sales ...","Sales ...","Satış ...","Ventas ...","Vendite ...",
"@SalgsMomskonto","SalgsMomskonto","Sales Tax Account","Umsatzsteuerkonto","Compte de la taxe de vente","Satış Vergisi Hesabı","Cuenta Impuesto sobre las Ventas","Account Sales Tax",
"@Salgsmoms (udgående moms): ","Salgsmoms (udgående moms): ","Sales VAT (output tax): ","Der Umsatz Mehrwertsteuer (Ausgangssteuer): ","Les ventes TVA (taxe de sortie): ","Satış KDV (çıkış vergisi): ","IVA las ventas (IVA repercutido): ","IVA vendite (imposta a valle): ",
"@Salgsmoms","Salgsmoms","Sales Tax","Umsatzsteuer","Taxe de vente","satış vergisi","impuesto sobre la venta","Sales Tax",
"@Salgspris","Salgspris","Retail","Einzelhandel","vente au détail","perakende","venta al por menor","al dettaglio",
"@Samlekonto for debitorgruppen","Samlekonto for debitorgruppen","Summary account of the debtor group","Zusammenfassung Konto des Schuldners Gruppe","Compte rendu succinct du groupe débiteur","borçlu grubun Özeti hesabı","Relación sumaria del grupo deudor","Sintesi conto del gruppo debitore",
"@Samlekonto for kreditorgruppen","Samlekonto for kreditorgruppen","Summary account of the creditor group","Zusammenfassung Konto des Gläubigers Gruppe","Compte rendu succinct du groupe des créanciers","alacaklı grubunun Özeti hesabı","Relación sumaria del grupo de acreedores","Sintesi conto del gruppo di creditori",
"@SamlekontoDebitor","SamlekontoDebitor","Collect Account Receivable","Sammeln Sie Debitoren","Collecter compte à recevoir","Hesap Alacak toplamak","Recoger cuenta por cobrar","Raccogliere account Credito",
"@Samlekt.","Samlekt.","Samlekt.","Samlekt.","Samlekt.","Samlekt.","Samlekt.","Samlekt.",
"@Samlevare","Samlevare","Collect Item","Sammeln Sie Artikel","Collecter Item","Öğe toplayın","Suma de artículos","raccogliere Articolo",
"@Sans-serif","Sans-serif","Sans-serif","Sans-Serif","Sans-serif","Sans-serif","Sans-serif","Sans-serif",
"@Se hvordan i installeringsvejledningen INSTALLATION.txt.","Se hvordan i installeringsvejledningen INSTALLATION.txt.","See how in the installation instructions INSTALLATION.txt.","Sehen Sie, wie in der Installationsanleitung Installation.txt.","Voyez comment dans la notice d'installation installation.txt.","nasıl kurulum talimatları INSTALLATION.txt görün.","Ver cómo en el INSTALLATION.txt instrucciones de instalación.","Guarda come nelle istruzioni di installazione INSTALLATION.txt.",
"@Se mere på","Se mere på","Look more at","Mehr unter","Voir plus à","Daha fazla görün","Ver más en","See more at",
"@Send faktura med mail","Send faktura med mail","Send invoice by mail","Senden Rechnung per Post","Envoyer facture par la poste","posta ile fatura gönder","Enviará la factura por correo","Invia fattura per posta",
"@Serienr","Serienr","Serial","seriell","en série","seri","de serie","serial",
"@Serif","Serif","Serif","Serife","Serif","Şerif","serif","Serif",
"@Shop relaterede valg (WEB)","Shop relaterede valg (WEB)","Shop related choices (WEB)","Shop-bezogenen Entscheidungen (WEB)","choix de magasins liés (WEB)","Mağaza ile ilgili seçimler (WEB)","Tienda relacionados opciones (web)","scelte relative shop (web)",
"@Side","Side","Page","Seite","côté","yan","lado","lato",
"@Sideskift (system!)","Sideskift (system!)","Page breaks (system)","Seitenumbrüche (System)","Les sauts de page (système)","Sayfa sonları (sistem)","Los saltos de página (sistema)","Le interruzioni di pagina (di sistema)",
"@Sideskift","Sideskift","side Switch","side Switch","Commutateur latéral","yan Anahtarı","Interruptor lateral","interruttore laterale",
"@Sidste kontonummer som skal indgå i rapporten","Sidste kontonummer som skal indgå i rapporten","Last account number to be included in the report","Letzte Kontonummer in den Bericht aufgenommen werden","Dernier numéro de compte à être inclus dans le rapport","Son hesap numarası raporuna dahil edilecek","Último número de cuenta que se incluirán en el informe","Ultimo numero di conto da includere nel rapporto",
"@Sidste side","Sidste side","last page","letzte Seite","dernière page","son sayfa","última página","ultima pagina",
"@Sikkerheds kopi","Sikkerheds kopi","security copy","Sicherheitskopie","copie de sécurité","güvenlik kopyası","copia de seguridad","copia di sicurezza",
"@Sikkerhedskopi","Sikkerhedskopi","backup","Sicherungskopie","sauvegarde","yedek","reserva","di riserva",
"@Simuler","Simuler","Simulate","vortäuschen","simuler","benzetmek","simular","simulare",
"@Simulering af bogføring viser bevægelser i kontoplanen","Simulering af bogføring viser bevægelser i kontoplanen","Simulation of posting shows movements in nomenclature","Simulation der Entsendung zeigt Bewegungen in der Nomenklatur","Simulation de l'affichage montre des mouvements dans la nomenclature","gönderme Simülasyon isimlendirme hareketleri gösterir","Simulación de contabilización muestra los movimientos en la nomenclatura","Simulazione di distacco mostra movimenti nomenclatura",
"@Skjul Menu","Skjul Menu","Hide Menu","Menü ausblenden","Masquer le menu","gizle Menüsü","Ocultar menú","CHIUDI",
"@Skjul","Skjul","Hide","verstecken","cacher","gizlemek","ocultar","nascondere",
"@Skrift type navn: Helvetica, Times, OCRbb12","Skrift type navn: Helvetica, Times, OCRbb12","Font Name: Helvetica, Times, OCRbb12","Font Name: Helvetica, Times, OCRbb12","Nom de la police: Helvetica, Times, OCRbb12","Font Adı: Helvetica, Times, OCRbb12","Nombre de la Fuente: Helvetica, Times, OCRbb12","Nome font: Helvetica, Times, OCRbb12",
"@Skrivebeskyt alle mapper på serveren, på nær: ","Skrivebeskyt alle mapper på serveren, på nær: ","Write Protect all folders on the server, except: ","Schreiben Sie alle Ordner auf dem Server schützen, außer: ","Write Protect tous les dossiers sur le serveur, à l'exception: ","dışında, sunucu üzerindeki tüm klasörleri koruyun yazın: ","Protección contra escritura todas las carpetas en el servidor, excepto: ","Write Protect tutte le cartelle sul server, ad eccezione di: ",
"@Skrives der `d` eller `k`, vil det efterfølgende nummer blive tolket som et Debitor konto-nummer eller et Kreditor konto-nummer.","Skrives der `d` eller `k`, vil det efterfølgende nummer blive tolket som et Debitor konto-nummer eller et Kreditor konto-nummer.","Is written `d` or` K +, the next number will be interpreted as a debtor account number or any creditor account number.","Ist geschrieben 'd' or` K +, wird die nächste Nummer als Schuldner Kontonummer interpretiert werden oder jeder Gläubiger Kontonummer.","Est écrit `d` or` K +, le prochain numéro sera interprété comme un numéro de compte débiteur ou tout numéro de compte du créancier.","`D` or` K + yazılır, bir sonraki sayı borçlu hesap numarası ya da herhangi bir alacaklı hesap numarası olarak yorumlanacaktır.","Está escrito `d` o` K +, el siguiente número será interpretado como un número de cuenta del deudor o cualquier número de cuenta del acreedor.","È scritto `d` o` K +, il numero successivo sarà interpretato come un numero di conto debitore o qualsiasi numero di conto creditore.",
"@Skrives en værdi her, vil der fremkomme et redigerbart felt på ordresiden med den angivne værdi. Procenttillægget er et tillæg til den samlede fakturasum før momsberegning. ","Skrives en værdi her, vil der fremkomme et redigerbart felt på ordresiden med den angivne værdi. Procenttillægget er et tillæg til den samlede fakturasum før momsberegning. ","Write a value here, will appear an editable field on the order page with the specified value. Percentage addendum is an addition to the total invoice amount before VAT. ","Schreiben Sie hier einen Wert, wird ein editierbares Feld auf der Bestellseite mit dem angegebenen Wert angezeigt. Prozentual Addendum ist eine Ergänzung zu dem Gesamtbetrag der Rechnung vor der gesetzlichen Mehrwertsteuer. ","Ecrire une valeur ici, apparaît un champ modifiable sur la page de commande avec la valeur spécifiée. Pourcentage addendum est un ajout au montant total de la facture hors TVA. ","Belirtilen değer ile sipariş sayfasında düzenlenebilir alan görünecektir, burada bir değer yazın. Yüzde Zeyilname KDV öncesi toplam fatura tutarı bir ektir. ","Escribe un valor aquí, aparecerá un campo editable en la página de la orden con el valor especificado. Porcentaje adición es una adición a la cantidad total de la factura sin IVA. ","Scrivi un valore qui, viene visualizzato un campo modificabile sulla pagina d'ordine con il valore specificato. Percentuale addendum è un'aggiunta alla somma totale della fattura al netto dell'IVA. ",
"@Skrå skrift type, også kaldet italic","Skrå skrift type, også kaldet italic","Inclined font, also called italic","Geneigte Schriftart, auch kursiv genannt","police Inclined, également appelé italic","Eğik yazı, aynı zamanda italik olarak adlandırılan","letra inclinada, también llamado cursiva","carattere inclinato, chiamato anche italico",
"@Skrå","Skrå","Inclined","schräg","incliné","eğimli","inclinado","inclinato",
"@Skæringsdato for provisionsberegning:","Skæringsdato for provisionsberegning:","Cut-off date for commission calculation:","Stichtag für die Provisionsabrechnung:","Date butoir pour le calcul de la commission:","Cut-off komisyon hesaplaması için tarih:","Fecha límite para el cálculo de la comisión:","Cut-off date per il calcolo della Commissione:",
"@Slet alt","Slet alt","Clear all","alles löschen","tout effacer","Tümünü sil","eliminar todo","Elimina tutto",
"@Slet filter og vis alt","Slet filter og vis alt","Remove filter and show all","Filter entfernen und alle anzeigen","Retirez le filtre et montrer tous","filtreyi kaldırmak ve tüm göstermek","Retire el filtro y mostrar todos","Rimuovere il filtro e mostrare tutti",
"@Slet posten","Slet posten","Delete the entry","Löschen Sie den Eintrag","Supprimez l'entrée","girişini silme","Eliminar la entrada","Eliminare la voce",
"@Slet","Slet","Delete","löschen","effacer","silmek","borrar","cancellare",
"@Slet...","Slet...","Delete ...","Löschen ...","Supprimer ...","Sil ...","Eliminar ...","Elimina ...",
"@Slut-dato","Slut-dato","End-date","End-Datum","Date de fin","Bitiş tarihi","Fecha fin","End-date",
"@Slut..","Slut..","THE END","End ..","Fin ..","End ..","Terminar ..","Fine ..",
"@Sprog","Sprog","Language","Sprache","langue","dil","idioma","lingua",
"@Sprog:","Sprog:","Language:","Sprache:","langue:","dil:","idioma:","lingua:",
"@Sproget som skal benyttes på faktura udskrifter","Sproget som skal benyttes på faktura udskrifter","The language to be used on the invoice prints","Die Sprache auf der Rechnung zum Drucken verwendet werden","La langue à utiliser sur les impressions de factures","Dil fatura baskılar kullanılmak üzere","El idioma que se utiliza en las impresiones de facturas","La lingua da utilizzare per le stampe fattura",
"@Sproghåndtering: Opret, Nedlæg sprog","Sproghåndtering: Opret, Nedlæg sprog","Language management: Create, Destroy languages","Sprachverwaltung: Erstellen, Löschen Sprachen","Gestion des langues: Créer, détruire langues","Dil yönetimi: dilleri yok, oluşturma","gestión idioma: crear, destruir idiomas","Management Lingua: Create, Destroy lingue",
"@Stamdata","Stamdata","Master data","Stammdaten","Les données de base","ana veri","Los datos maestros","dati master",
"@Stamdata:","Stamdata:","Master data:","Stammdaten:","Données de base:","Ana veriler:","Los datos maestros:","Dati Master:",
"@Start søgning med de angivne kriterier.","Start søgning med de angivne kriterier.","Start search with the specified criteria.","Suche starten mit den angegebenen Kriterien.","Lancer la recherche avec les critères spécifiés.","Belirtilen kriterlere Aramayı başlat.","Iniciar la búsqueda con los criterios especificados.","Avviare la ricerca con i criteri specificati.",
"@Start søgning","Start søgning","Start search","Suche starten","Démarrer la recherche","Aramayı başlat","Iniciar búsqueda","Inizio di ricerca",
"@Start-dato","Start-dato","Start date","Startdatum","Date de début","Başlangıç ​​tarihi","fecha de inicio","data di inizio",
"@Stat...","Stat...","State...","Stat ...","Stat ...","Stat ...","Stat ...","Stat ...",
"@Status konto","Status konto","status account","Status Konto","compte de l'état","durum hesabı","estado de cuenta","conto stato",
"@Status","Status","status","Status","statut","durum","estatus","stato",
"@Status: Aktiv eller Lukket","Status: Aktiv eller Lukket","Status: Active or Closed","Status: Aktiv oder geschlossen","Statut: Actif ou fermé","Durum: Aktif veya Kapalı","Estado: Activo o Cerrada","Stato: Attivo o chiuso",
"@Status:","Status:","status:","Status:","statut:","durum:","estado:","stato:",
"@Sted","Sted","Place","Platz","place","yer","lugar","posto",
"@Sted...","Sted...","Place..","Lage ...","Localisation ...","Yer ...","Localización ...","Location ...",
"@Stk. rabat v. antal","Stk. rabat v. antal","PCS. discount v. number","Unterabschnitt. Rabatt v. Nummer","Le paragraphe. actualisation v. Numéro","Alt bölüm. indirim v. sayısı","Subsección. descuento. v Número","Sottosezione. . Sconto v numero",
"@Stk. rabat","Stk. rabat","PCS. discount","Unterabschnitt. Rabatt","Le paragraphe. réduction","Alt bölüm. indirim","Subsección. descuento","Sottosezione. sconto",
"@Straks","Straks","Immediately","sofort","immédiatement","hemen","inmediatamente","subito",
