"!SYSTEM-key :Dansk (Med prefix: @)","da:Dansk (Denmark:Danish da-DK)","en:English (United Kingdom:English en-GB)","de:Deutsch (Germany:German de-DE)","fr:Français (France:French fr-FR)","tr:Türkçe (Turkey:Turkish tr-TR)","pl:Polish (Poland pl-PL)","es:Español (Spain:Spanish es-ES)","it:italian"
"@Skriv overskriften til den email som bruges, når der sendes pr. mail.","Skriv overskriften til den email som bruges, når der sendes pr. mail.","Write the title of the email used when sending per. mail.","Schreiben Sie den Titel der E-Mail verwendet werden, wenn pro senden. Mail.","Ecrire le titre de l'e-mail utilisée lors de l'envoi par. courrier.","başına gönderirken kullanılan e-posta başlığını yazın. posta.","Wpisz tytuł e-mail użyty przy wysyłaniu za. poczty.","Escribe el título del correo electrónico se utiliza para enviar por. electrónico.","Scrivi il titolo della e-mail utilizzato per l'invio di ogni. elettronica."
"@Skriv teksten til den email som bruges, når der sendes pr. mail. HTML koder accepteres.","Skriv teksten til den email som bruges, når der sendes pr. mail. HTML koder accepteres.","Write the text of the email used when sending per. mail. HTML tags are accepted.","Schreiben Sie den Text der E-Mail verwendet werden, wenn pro senden. Mail. HTML-Tags werden akzeptiert.","Écrivez le texte de l'e-mail utilisée lors de l'envoi par. courrier. Les balises HTML sont acceptées.","başına gönderirken kullanılan e-posta metnini yazın. posta. HTML etiketleri kabul edilir.","Napisz tekst e-mail użyty przy wysyłaniu za. poczty. tagi HTML są akceptowane.","Escribir el texto del correo electrónico se utiliza para enviar por. electrónico. Se aceptan las etiquetas HTML.","Scrivere il testo della e-mail utilizzato per l'invio di ogni. elettronica. Si accettano tag HTML."
"@Skrivebeskyt alle mapper på serveren, på nær: ","Skrivebeskyt alle mapper på serveren, på nær: ","Write Protect all folders on the server, except:","Schreiben Sie alle Ordner auf dem Server schützen, außer:","Write Protect tous les dossiers sur le serveur, à l'exception:","dışında, sunucu üzerindeki tüm klasörleri koruyun yazın:","Write Protect wszystkie foldery na serwerze, z wyjątkiem:","Protección contra escritura todas las carpetas en el servidor, excepto:","Write Protect tutte le cartelle sul server, ad eccezione di:"
"@Skrives der `d` eller `k`, vil det efterfølgende nummer blive tolket som et Debitor konto-nummer eller et Kreditor konto-nummer.","Skrives der `d` eller `k`, vil det efterfølgende nummer blive tolket som et Debitor konto-nummer eller et Kreditor konto-nummer.","Is written `d` or` K +, the next number will be interpreted as a debtor account number or any creditor account number.","Ist geschrieben 'd' or` K +, wird die nächste Nummer als Schuldner Kontonummer interpretiert werden oder jeder Gläubiger Kontonummer.","Est écrit `d` or` K +, le prochain numéro sera interprété comme un numéro de compte débiteur ou tout numéro de compte du créancier.","`D` or` K + yazılır, bir sonraki sayı borçlu hesap numarası ya da herhangi bir alacaklı hesap numarası olarak yorumlanacaktır.","Jest napisane `d` or` K +, następny numer będzie interpretowany jako numer rachunku dłużnika lub dowolnego numeru rachunku wierzyciela.","Está escrito `d` o` K +, el siguiente número será interpretado como un número de cuenta del deudor o cualquier número de cuenta del acreedor.","È scritto `d` o` K +, il numero successivo sarà interpretato come un numero di conto debitore o qualsiasi numero di conto creditore."
"@Skrives en værdi her, vil den fremkomme et redigerbart felt på ordresiden med den angivne værdi. ","Skrives en værdi her, vil den fremkomme et redigerbart felt på ordresiden med den angivne værdi. ","Write a value here, it will make an editable field on the order page with the specified value.","Schreiben Sie hier einen Wert, wird ein editierbares Feld auf der Bestellseite mit dem angegebenen Wert.","Ecrire une valeur ici, il fera un champ modifiable sur la page de commande avec la valeur spécifiée.","belirtilen değer ile sipariş sayfasında düzenlenebilir bir alanı yapacak, burada bir değer yazın.","Wpisz wartość tutaj, uczyni to pole do edycji na stronie zamówienia o określonej wartości.","Escribe un valor aquí, se hará un campo editable en la página de la orden con el valor especificado.","Scrivi un valore qui, farà un campo modificabile sulla pagina d'ordine con il valore specificato."
"@Skrives en værdi her, vil der fremkomme et redigerbart felt på ordresiden med den angivne værdi. ","Skrives en værdi her, vil der fremkomme et redigerbart felt på ordresiden med den angivne værdi. ","Write a value here, will appear an editable field on the order page with the specified value.","Schreiben Sie hier einen Wert, wird ein editierbares Feld auf der Bestellseite mit dem angegebenen Wert angezeigt.","Ecrire une valeur ici, apparaît un champ modifiable sur la page de commande avec la valeur spécifiée.","Belirtilen değer ile sipariş sayfasında düzenlenebilir alan görünecektir, burada bir değer yazın.","Wpisz wartość tutaj pojawi się pole do edycji na stronie zamówienia o określonej wartości.","Escribe un valor aquí, aparecerá un campo editable en la página de la orden con el valor especificado.","Scrivi un valore qui, viene visualizzato un campo modificabile sulla pagina d'ordine con il valore specificato."
"@Skrå skrift type, også kaldet italic","Skrå skrift type, også kaldet italic","Inclined font, also called italic","Geneigte Schriftart, auch kursiv genannt","police Inclined, également appelé italic","Eğik yazı, aynı zamanda italik olarak adlandırılan","Pochylona czcionka, zwany także kursywa","letra inclinada, también llamado cursiva","carattere inclinato, chiamato anche italico"
"@Skrå","Skrå","Inclined","schräg","incliné","eğimli","skłonny","inclinado","inclinato"
"@Skyldig moms i alt","Skyldig moms i alt","VAT to be paid in total","Mehrwertsteuer insgesamt bezahlt werden","TVA à payer au total","KDV toplam ödenecek","VAT do zapłaty w całości","IVA a ser pagado en total","L'IVA da versare in totale"
"@Skæringsdato for provisionsberegning:","Skæringsdato for provisionsberegning:","Cut-off date for commission calculation:","Stichtag für die Provisionsabrechnung:","Date butoir pour le calcul de la commission:","Cut-off komisyon hesaplaması için tarih:","Odcięcie datę naliczania prowizji:","Fecha límite para el cálculo de la comisión:","Cut-off date per il calcolo della Commissione:"
"@Slet alt","Slet alt","Clear all","alles löschen","tout effacer","Tümünü sil","Usuń wszystko","eliminar todo","Elimina tutto"
"@Slet filter og vis alt","Slet filter og vis alt","Remove filter and show all","Filter entfernen und alle anzeigen","Retirez le filtre et montrer tous","filtreyi kaldırmak ve tüm göstermek","Usuń filtr i pokaż wszystko","Retire el filtro y mostrar todos","Rimuovere il filtro e mostrare tutti"
"@Slet posten","Slet posten","Delete the entry","Löschen Sie den Eintrag","Supprimez l'entrée","girişini silme","Usuń wpis","Eliminar la entrada","Eliminare la voce"
"@Slet regnskab","Slet regnskab","Delete accounts","Konten löschen","Supprimer les comptes","hesaplarını silin","Usuwanie konta","eliminar cuentas","eliminare gli account"
"@Slet","Slet","Delete","löschen","effacer","silmek","usunąć","borrar","cancellare"
"@Slet...","Slet...","Delete ...","Löschen ...","Supprimer ...","Sil ...","Usuń ...","Eliminar ...","Elimina ..."
"@Slut-dato","Slut-dato","End-date","End-Datum","Date de fin","Bitiş tarihi","End-data","Fecha fin","End-date"
"@Slut..","Slut..","End ..","End ..","Fin ..","End ..","End ..","Terminar ..","Fine .."
"@Sprog frase","Sprog frase","language phrase","Sprache Ausdruck","phrase de la langue","dil ifade","Zwrot język","frase idioma","frase lingua"
"@Sprog","Sprog","Language","Sprache","langue","dil","język","idioma","lingua"
"@Sprog:","Sprog:","Language:","Sprache:","langue:","dil:","język:","idioma:","lingua:"
"@Sproget som skal benyttes på faktura udskrifter","Sproget som skal benyttes på faktura udskrifter","The language to be used on the invoice prints","Die Sprache auf der Rechnung zum Drucken verwendet werden","La langue à utiliser sur les impressions de factures","Dil fatura baskılar kullanılmak üzere","Językiem być stosowane na druki faktur","El idioma que se utiliza en las impresiones de facturas","La lingua da utilizzare per le stampe fattura"
"@Sproghåndtering: Opret, Nedlæg sprog","Sproghåndtering: Opret, Nedlæg sprog","Language management: Create, Destroy languages","Sprachverwaltung: Erstellen, Löschen Sprachen","Gestion des langues: Créer, détruire langues","Dil yönetimi: dilleri yok, oluşturma","Zarządzanie Język: Tworzenie, Destroy językach","gestión idioma: crear, destruir idiomas","Management Lingua: Create, Destroy lingue"
"@Stamdata:","Stamdata:","Master data:","Stammdaten:","Données de base:","Ana veriler:","Dane podstawowe:","Los datos maestros:","Dati Master:"
"@Start søgning med de angivne kriterier.","Start søgning med de angivne kriterier.","Start search with the specified criteria.","Suche starten mit den angegebenen Kriterien.","Lancer la recherche avec les critères spécifiés.","Belirtilen kriterlere Aramayı başlat.","Rozpocznij wyszukiwanie z określonymi kryteriami.","Iniciar la búsqueda con los criterios especificados.","Avviare la ricerca con i criteri specificati."
"@Start søgning","Start søgning","Start search","Suche starten","Démarrer la recherche","Aramayı başlat","Rozpocznij wyszukiwanie","Iniciar búsqueda","Inizio di ricerca"
"@Start-dato","Start-dato","Start date","Startdatum","Date de début","Başlangıç ​​tarihi","Data rozpoczęcia","fecha de inicio","data di inizio"
"@Stat...","Stat...","State...","Stat ...","Stat ...","Stat ...","Stat ...","Stat ...","Stat ..."
"@Status konto","Status konto","status account","Status Konto","compte de l'état","durum hesabı","stan konta","estado de cuenta","conto stato"
"@Status","Status","status","Status","statut","durum","status","estatus","stato"
"@Status.","Status.","Status.","Der Status.","Statut.","Durum.","Stan.","De estado.","Stato."
"@Status: ","Status: ","status:","Status:","statut:","durum:","Status:","estado:","stato:"
"@Status: Aktiv eller Lukket","Status: Aktiv eller Lukket","Status: Active or Closed","Status: Aktiv oder geschlossen","Statut: Actif ou fermé","Durum: Aktif veya Kapalı","Status: Aktywny czy zamknięty","Estado: Activo o Cerrada","Stato: Attivo o chiuso"
"@Status:","Status:","status:","Status:","statut:","durum:","Status:","estado:","stato:"
"@Sted","Sted","place","Platz","place","yer","miejsce","lugar","posto"
"@Sted...","Sted...","Location ...","Lage ...","Localisation ...","Yer ...","Lokalizacja ...","Localización ...","Location ..."
"@Stikord for andet: Ikoner, Tilvalg, ... ¤","Stikord for andet: Ikoner, Tilvalg, ... ¤","Index for the second: Icons Options ... ¤","Index für die zweite: Icons Optionen ... ¤","Index pour le second: Icônes d'options ... ¤","İkinci endeksi: Simgeler Seçenekler ... ¤","Indeks do drugich: Symbole opcji ... ¤","Índice para los segundos: Iconos Opciones ... ¤","Indice per il secondo: Icone Opzioni ... ¤"
"@Stk. rabat v. antal","Stk. rabat v. antal","PCS. discount v. number","Unterabschnitt. Rabatt v. Nummer","Le paragraphe. actualisation v. Numéro","Alt bölüm. indirim v. sayısı","Podsekcji. zniżki v. liczba","Subsección. descuento. v Número","Sottosezione. . Sconto v numero"
"@Stk. rabat","Stk. rabat","PCS. discount","Unterabschnitt. Rabatt","Le paragraphe. réduction","Alt bölüm. indirim","Podsekcji. zniżka","Subsección. descuento","Sottosezione. sconto"
"@Straks","Straks","Immediately","sofort","immédiatement","hemen","natychmiast","inmediatamente","subito"
"@Stregen angår...","Stregen angår...","The line concerns ...","Die Linie betrifft ...","La ligne concerne ...","çizgi ilgilendiriyor ...","Linia dotyczy ...","La línea se refiere ...","La linea riguarda ..."
"@Stregens x-slutpunkt målt i mm fra venstre side-kant","Stregens x-slutpunkt målt i mm fra venstre side-kant","The string x endpoint measured in millimeters from the left-hand edge","Der String x Endpunkt in Millimeter von der linken Kante gemessen","La chaîne x effet mesuré en millimètres à partir du bord gauche","sol kenarından milimetre cinsinden ölçülür dize x bitiş noktası","Ciąg x końcowym mierzona w milimetrach od lewej krawędzi","La cadena x parámetro que se mida en milímetros desde el borde izquierdo","La stringa x endpoint misurata in millimetri dal bordo sinistro"
"@Stregens x-startpunkt målt i mm fra venstre side-kant","Stregens x-startpunkt målt i mm fra venstre side-kant","The swath x-start point measured in mm from the left edge","Die Schwaden x-Startpunkt gemessen in mm vom linken Rand","Le point andain x-start mesurée en mm du bord gauche","sol kenarından mm ölçülen tarama alanı x başlangıç ​​noktası","Punktem pokosu x-start mierzona w mm od lewej krawędzi","El punto de inicio franja x medido en mm desde el borde izquierdo","Il punto di andana x-start misurata in mm dal margine sinistro"
"@Stregens y-slutpunkt målt i mm fra side-bund","Stregens y-slutpunkt målt i mm fra side-bund","The swath y end point measured in mm from side-bottom","Die Schneise y Endpunkt gemessen in mm von der Seite unten","Le point mesuré en mm d'un côté de fond andain y end","yan alttan mm ölçülen orak y bitiş noktası","Punkt końcowy pokosu y mierzony w mm od bocznego dołu","El punto final franja y se mide en milímetros de lado inferior","Il punto di andana y end misurata in mm da lato inferiore"
"@Stregens y-startpunkt målt i mm fra side-bund","Stregens y-startpunkt målt i mm fra side-bund","The swath y-start point measured in mm from side-bottom","Die Schneise y-Startpunkt gemessen in mm von der Seite unten","Le point andain y-start mesurée en mm d'un côté de fond","yan alttan mm ölçülen tarama alanı y-başlangıç ​​noktası","Punktem startu pokosu y mierzony w mm od bocznego dołu","El punto de inicio franja y se mide en milímetros de lado inferior","Il punto andana y-start misurata in mm da lato inferiore"
"@Stregkd.","Stregkd.","Stregkd.","Stregkd.","Stregkd.","Stregkd.","Stregkd.","Stregkd.","Stregkd."
"@Stregkode med varenummer","Stregkode med varenummer","Barcode with item number","Barcode mit Artikelnummer","Barcode avec le numéro de l'article","madde numarası ile Barkod","Kod kreskowy z numerem porządkowym","Código de barras con el número de artículo","Codice a barre con il numero di articolo"
"@Stregkode","Stregkode","barcode","Strichcode","code à barres","barkod","kodów kreskowych","código de barras","codice a barre"
"@Strt..","Strt..","Strt ..","Strt ..","Strt ..","Strt ..","Strt ..","Strt ..","Strt .."
"@Størrelse","Størrelse","Size","Größe","taille","boyut","rozmiar","tamaño","dimensione"
"@Sum konto","Sum konto","sum account","Summe Konto","compte somme","toplamı hesabı","konto suma","cuenta de suma","conto sum"
"@Sum","Sum","Sum","Summe","somme","toplam","suma","suma","somma"
"@Summér fra_konto. Angiv laveste kontonummer, som skal med i sammentællingen. Angår kun sum-konti, type Z","Summér fra_konto. Angiv laveste kontonummer, som skal med i sammentællingen. Angår kun sum-konti, type Z","Sum the fra_konto. Enter the lowest account number to be included in the count. Only for sum accounts, type Z","Summe den fra_konto. Geben Sie die niedrigste Kontonummer werden in die Zählung einbezogen. Nur für Summe Konten, Typ Z","Somme de la fra_konto. Entrez le numéro de compte la plus faible à être inclus dans le décompte. Seulement pour les comptes de la somme, le type Z","fra_konto Sum. düşük hesap numarasını girin sayısına dahil edilecek. Sadece toplam hesapları için, ve Z","Podsumowując ten fra_konto. Wprowadź najniższy numer konta, które należy uwzględnić w wyliczeniu. Tylko dla kont Sum, typ Z","Suma el fra_konto. Introduzca el número de cuenta más baja que se incluye en el recuento. Sólo para las cuentas de sumas, tipo Z","Somma il fra_konto. Inserire il numero di conto più basso da includere nel conteggio. Solo per i conti somma, tipo Z"
"@Summér fra_konto. Angiv laveste kontonummer, som skal med i sammentællingen.","Summér fra_konto. Angiv laveste kontonummer, som skal med i sammentællingen.","Sum the fra_konto. Enter the lowest account number to be included in the count.","Summe den fra_konto. Geben Sie die niedrigste Kontonummer werden in die Zählung einbezogen.","Somme de la fra_konto. Entrez le numéro de compte la plus faible à être inclus dans le décompte.","fra_konto Sum. düşük hesap numarasını girin sayısına dahil edilecek.","Podsumowując ten fra_konto. Wprowadź najniższy numer konta, które należy uwzględnić w wyliczeniu.","Suma el fra_konto. Introduzca el número de cuenta más baja que se incluye en el recuento.","Somma il fra_konto. Inserire il numero di conto più basso da includere nel conteggio."
"@Supplerende oplysning","Supplerende oplysning","additional information","weitere Informationen","des informations supplémentaires","ek bilgi","informacje dodatkowe","información adicional","ulteriori informazioni"
"@Supplerende steds angivelse","Supplerende steds angivelse","Additional anywhere indication","Zusätzliche überall Anzeige","indication supplémentaire n'importe où","Ek bir yere göstergesi","Dodatkowa sygnalizacja wszędzie","indicación adicional en cualquier parte","Indicazione ovunque aggiuntive"
"@Supplerende stedsangivelse","Supplerende stedsangivelse","Additional place indication","Zusätzliche Ort Anzeige","lieu indication supplémentaire","Ek bir yer göstergesi","Dodatkowa sygnalizacja miejsce","indicación de lugar adicional","Indicazione posto supplementare"
"@Swift","Swift","Swift","schnell","rapide","hızlı","szybki","rápido","veloce"
"@Synkroniser kategorier i Saldi med shop. ","Synkroniser kategorier i Saldi med shop. ","Synchronize Categories Balances with shop.","Synchronisieren Kategorien Waagen mit Shop.","Synchroniser Catégories Balances avec boutique.","mağazası ile Kategoriler bakiyeleri senkronize edin.","Synchronizacja kategorie Rachunki w sklepie.","Sincronizar Categorías Saldos con tienda.","Sincronizzare Categorie Conti presso negozio."
"@Systemdata","Systemdata","system Data","System Daten","données système","sistemi Veri","System danych","sistema de datos","sistema di Data"
"@Systemet er baseret på CSS, og er med responsive design, som er velegnet til mobile enheder. ","Systemet er baseret på CSS, og er med responsive design, som er velegnet til mobile enheder. ","The system is based on CSS, and with responsive design which is suitable for mobile devices.","Das System basiert auf CSS und mit reaktions Konstruktion, die für mobile Geräte geeignet ist.","Le système est basé sur CSS, et avec un design réactif qui est adapté pour les appareils mobiles.","Sistem CSS ve mobil cihazlar için uygundur duyarlı tasarımı ile dayanmaktadır.","System bazuje na CSS i odpowiadającego konstrukcji, który nadaje się do urządzeń przenośnych.","El sistema se basa en CSS, y con el diseño de respuesta que es adecuado para dispositivos móviles.","Il sistema è basato su CSS e con design reattivo che è adatto per i dispositivi mobili."
"@Systemet er ikke anvendt endnu, men blot for at demonstre redigering.","Systemet er ikke anvendt endnu, men blot for at demonstre redigering.","The system is not used yet, but just to demonstrating editing.","Das System wird verwendet, noch nicht, aber nur die Bearbeitung zu demonstrieren.","Le système n'a pas encore été utilisé, mais juste pour démontrer l'édition.","Sistem henüz kullanılabilir, ancak sadece düzenleme göstermeye değildir.","System nie jest jeszcze używany, ale po prostu wykazując edycję.","El sistema no se utiliza, sin embargo, pero sólo para la demostración de la edición.","Il sistema non è ancora usato, ma solo per dimostrare editing."
"@Systemet kontrollerer om HTTPS er benyttet. (skal testes!)","Systemet kontrollerer om HTTPS er benyttet. (skal testes!)","The system checks whether HTTPS is used. (To be tested)","Das System prüft, ob HTTPS verwendet wird. (Zu prüfenden)","Le système vérifie si HTTPS est utilisé. (À tester)","sistemi kullanıldığında HTTPS olmadığını kontrol eder. (Test edilecektir)","System sprawdza, czy jest używany protokół HTTPS. (Badanej)","El sistema verifica si se utiliza HTTPS. (Para ser probado)","Il sistema controlla se HTTPS viene utilizzato. (Ricerca da effettuare)"
"@Systemet kontrollerer om mappen er skrivbar","Systemet kontrollerer om mappen er skrivbar","The system checks whether the directory is writable","Das System prüft, ob das Verzeichnis beschreibbar ist","Le système vérifie si le répertoire est inscriptible","Sistem dizini yazılabilir olup olmadığını denetler","System sprawdza, czy katalog jest zapisywalny","El sistema comprueba si el directorio se puede escribir","Il sistema verifica se la directory è scrivibile"
"@Systemet kontrollerer om modulet er tilgængeligt","Systemet kontrollerer om modulet er tilgængeligt","The system checks whether the module is available","Das System prüft, ob das Modul zur Verfügung steht","Le système vérifie si le module est disponible","sistem modülü mevcut olup olmadığını denetler","System ten sprawdza, czy moduł jest dostępny","El sistema verifica si el módulo está disponible","Il sistema controlla se il modulo è disponibile"
"@Systemet kontrollerer om modulet er tilgængeligt. (skal testes!)","Systemet kontrollerer om modulet er tilgængeligt. (skal testes!)","The system checks whether the module is available. (To be tested)","Das System prüft, ob das Modul zur Verfügung steht. (Zu prüfenden)","Le système vérifie si le module est disponible. (À tester)","sistem modülü mevcut olup olmadığını kontrol eder. (Test edilecektir)","System sprawdza, czy moduł jest dostępny. (Badanej)","El sistema verifica si el módulo está disponible. (Para ser probado)","Il sistema controlla se il modulo è disponibile. (Ricerca da effettuare)"
"@Sådan ser det ud:","Sådan ser det ud:","What it looks like:","Wie es aussieht:","À quoi cela ressemble:","Ne gibi görünüyor:","Jak to wygląda:","Lo que parece:","Come appare:"
"@Sælg...","Sælg...","Sell...","Verkaufen ...","A vendre ...","Satıyoruz ...","Sprzedam ...","Vender ...","Vendita ..."
"@Sælger","Sælger","Seller","Verkäufer","vendeur","satıcı","sprzedawca","vendedor","venditore"
"@Sælgers afdeling","Sælgers afdeling","Seller department","Verkäufer Abteilung","département Vendeur","Satıcı bölümü","Dział Sprzedawca","departamento vendedor","Dipartimento Venditore"
"@Sælgers referance","Sælgers referance","Seller referance","Verkäufer referance","Vendeur referance","Satıcı referans","Sprzedawca Referance","referance vendedor","Venditore referance"
"@Sæt * for adgang til alle regnskaber eller skriv en liste med ID på de regnskaber det skal være adgang til, adskilt af komma","Sæt * for adgang til alle regnskaber eller skriv en liste med ID på de regnskaber det skal være adgang til, adskilt af komma","Set * for access to all accounts or write a list of ID on the accounts it should be available, separated by commas","Set * für den Zugriff auf alle Konten oder eine Liste von ID schreiben auf den Konten sollte vorhanden sein, durch Komma getrennt","Set * pour un accès à tous les comptes ou écrire une liste de ID sur les comptes, il devrait être disponible, séparés par des virgules","virgülle ayırarak, bütün hesaplarına erişim için * Set veya mevcut olmalıdır hesaplara ilişkin kimlik listesini yazmak","Ustaw * dostęp do wszystkich kont lub napisać listę ID na rachunkach powinna być dostępna, rozdzielając je przecinkami","* Ajuste para el acceso a todas las cuentas o escribir una lista de ID en las cuentas que debe estar disponible, separados por comas","Impostare * per l'accesso a tutti gli account o scrivere un elenco di ID sui conti dovrebbe essere disponibile, separati da virgole"
"@Sæt flueben her for at knytte $firmanavn til denne kategori","Sæt flueben her for at knytte $firmanavn til denne kategori","Tick ​​here to associate the $ company name for this category","Markieren Sie hier die $ Firmennamen für diese Kategorie zuzuordnen","Cochez ici pour associer le nom de l'entreprise $ pour cette catégorie","Bu kategori için $ şirket adını ilişkilendirmek için buraya Kene","Zaznacz tutaj, aby powiązać nazwę $ firmy z danej kategorii","Marque aquí para asociar el nombre de la empresa $ para esta categoría","Tick ​​qui per associare il nome $ società per questa categoria"
"@Sæt flueben her for at knytte $firmanavn til denne kategori'; ","Sæt flueben her for at knytte $firmanavn til denne kategori'; ","Tick ​​here to associate the $ company name to this category ';","Markieren Sie hier die $ Firmennamen zu dieser Kategorie zugeordnet werden ';","Cochez ici pour associer le nom de l'entreprise $ à cette catégorie ';","Bu kategoride 'için $ şirket adını ilişkilendirmek için buraya işaretleyin;","Zaznacz tutaj, aby powiązać nazwę $ firmę do tej kategorii ';","Marque aquí para asociar el nombre de la empresa $ a esta categoría ';","Tick ​​qui per associare il nome $ società a questa categoria ';"
"@Sættes der et varenummer her bliver det muligt at samle en gruppe varer i en salgsordre som et sæt og give en samlet pris for denne gruppe.","Sættes der et varenummer her bliver det muligt at samle en gruppe varer i en salgsordre som et sæt og give en samlet pris for denne gruppe.","Put a number here it is possible to assemble a group of items in a sales order as a set and give a total for this group.","Legen Sie eine Nummer hier ist es möglich, eine Gruppe von Elementen in einem Kundenauftrag als Set zu montieren und insgesamt für diese Gruppe geben.","Mettez un certain nombre ici, il est possible d'assembler un groupe d'éléments dans un ordre de vente comme un ensemble et donner un total pour ce groupe.","Bir set olarak satış amacıyla öğelerin bir grup montajı ve bu grup için toplam vermek mümkündür burada bir numara koymak.","Umieścić numer tutaj możliwe jest zebrać grupę elementów w celu sprzedaży jako komplet i dać w sumie dla tej grupy.","Poner un número aquí es posible ensamblar un grupo de artículos en un pedido de cliente como un conjunto y dar un total para este grupo.","Mettere un numero qui è possibile assemblare un gruppo di elementi in un ordine di vendita come un insieme e dare un totale per questo gruppo."
"@Sættes der et varenummer her, bliver det muligt at samle en gruppe varer i en salgsordre, som et sæt og give en samlet pris for denne gruppe.","Sættes der et varenummer her, bliver det muligt at samle en gruppe varer i en salgsordre, som et sæt og give en samlet pris for denne gruppe.","Put a number here, it becomes possible to assemble a group of products in sales orders, as a set and give a total for this group.","Setzen Sie hier eine Zahl, wird es möglich, eine Gruppe von Elementen in einem Kundenauftrag als Set zu montieren und insgesamt für diese Gruppe geben.","Mettez un numéro ici, il devient possible d'assembler un groupe d'éléments dans un ordre de vente comme un ensemble et donner un total pour ce groupe.","Burada bir numara koymak, bir set olarak bir satış siparişi öğelerin bir grup montajı ve bu grup için toplam vermek mümkün olur.","Umieścić numer tutaj, możliwe staje się zebrać grupę elementów w celu sprzedaży jako komplet i dać w sumie dla tej grupy.","Ponga un número aquí, se hace posible reunir un grupo de artículos en un pedido de cliente como un conjunto y dar un total para este grupo.","Mettere un numero qui, diventa possibile assemblare un gruppo di elementi in un ordine di vendita come un insieme e dare un totale per questo gruppo."
"@Søg efter...","Søg efter...","Search for...","Suche nach ...","Rechercher ...","ara ...","Wyszukaj ...","Buscar ...","Ricerca di ..."
"@Søg en anden","Søg en anden","Search another","suchen Sie ein anderes","Rechercher une autre","başka ara","Wyszukaj inne","Buscar otro","Cerca un altro"
"@Søg","Søg","Search","Suche","recherche","arama","poszukiwanie","búsqueda","ricerca"
"@Søgetekst","Søgetekst","Search Text","Suche Text","Recherche texte","Arama Metni","Szukaj tekstu","búsqueda de texto","Ricerca testo"
"@Sørg for at der er skriveadgang for Webbrugere, til katalogerne","Sørg for at der er skriveadgang for Webbrugere, til katalogerne","Make sure there is write access for Web users, for catalogs","Stellen Sie sicher, dass es den Schreibzugriff für Web-Benutzer, für Kataloge","Assurez-vous qu'il ya un accès en écriture pour les utilisateurs Web, pour les catalogues","Make Web kullanıcıları için yazma erişim katalogları için, olduğundan emin","Upewnij się, że nie ma dostępu do zapisu dla użytkowników internetowych, katalogi","Asegúrese de que no hay acceso de escritura para los usuarios de la Web, para los catálogos","Assicurarsi che vi sia l'accesso in scrittura per gli utenti Web, per i cataloghi"
"@noTIP","noTIP","noTIP","noTIPP","ASTUCE","İPUCU","TIP","TIP","SUGGERIMENTO"
"@TIP:","TIP:","TIP:","TIPP:","ASTUCE:","İPUCU:","TIP:","TIP:","SUGGERIMENTO:"
"@TLS","TLS","TLS","TLS","TLS","TLS","TLS","TLS","TLS"
"@Tab-tast","Tab-tast","Tab key","Tab-Taste","touche Tab","Tab tuşu","Klawisz Tab","tecla de tabulación","tasto Tab"
"@Tabel   ', '","Tabel   ', '","Table ','","Tabelle ','","Table ','","Masa ','","Tabela ','","Tabla ','","Table ','"
"@Tabel   ', '","Tabel   ', '","Table ','","Tabelle ','","Table ','","Masa ','","Tabela ','","Tabla ','","Table ','"
"@Tabel:","Tabel:","Table:","Tabelle:","tableau:","tablosu:","tabela:","tabla:","tabella:"
"@Tabelfelt 1","Tabelfelt 1","Table Field 1","Tabellenfeld 1","Tableau 1 Champ","Tablo Alan 1","Tabela Pole 1","Tabla 1 Campo","Tabella Campo 1"
"@Tabelfelt 2","Tabelfelt 2","Table Field 2","Tabellenfeld 2","Tableau Champ 2","Tablo Alan 2","Tabela Pole 2","Tabla 2 Campo","Tabella Campo 2"
"@Tabelfelt 3","Tabelfelt 3","Table Field 3","Tabellenfeld 3","Tableau 3 Champ","Tablo Alan 3","Tabela Pole 3","Tabla Campo 3","Tabella Campo 3"
"@Tabelfelt 4","Tabelfelt 4","Table Field 4","Tabellenfeld 4","Tableau Champ 4","Tablo Alan 4","Tabela Pole 4","Tabla 4 Campo","Tabella Campo 4"
"@Tabelfelt 5","Tabelfelt 5","Table Field 5","Tabellenfeld 5","Tableau Champ 5","Tablo Alan 5","Tabela Pole 5","Tabla 5 Campo","Tabella Campo 5"
"@Tabelfelt 6","Tabelfelt 6","Table Field 6","Tabellenfeld 6","Tableau Champ 6","Tablo Alan 6","Tabela Pole 6","Tabla 6 Campo","Tabella Campo 6"
"@Tabeller med mange linier, vises i `rulle-vinduer`, med fastlåste kolonneoverskrifter.","Tabeller med mange linier, vises i `rulle-vinduer`, med fastlåste kolonneoverskrifter.","Tables with many lines are displayed in the ""roll-ups"", with fixed column headings.","Tabellen mit vielen Zeilen sind in den ""Roll-ups"", mit festen Spaltenüberschriften angezeigt.","Les tables avec de nombreuses lignes sont affichées dans les ""roll-ups"", avec des titres de colonnes fixes.","Birçok hatları ile Tablolar sabit sütun başlıkları ile, ""roll-up"" olarak görüntülenir.","Tabele z wielu linii są wyświetlane w ""roll-upy"", ze stałymi nagłówki kolumn.","Tablas con muchas líneas se muestran en los ""roll-ups"", con encabezados de columna fijos.","Tavoli con molte linee sono visualizzate in ""roll-up"", con intestazioni di colonna fisse."
